Film,Director,tmdbrating,overview,genre
El mundo secreto de Marina, Sonia Fritz,0.0,"The magical friendship between a deaf girl and a dragon turtle that helps her overcome her limitations and gain the community’s and other children’s acceptance. It is based on the novel ""La sirenita sin voz"" (The Mermaid Without A Voice) by Kalman Barsy.",Adventure
El otro Tom, Rodrigo Plá,5.3,"Elena is a single mother dependant on Social Services. Her son Tom has behaviour issues and is stigmatised at school as a ""problem child"". An absent father further complicates their difficult relationship. Tom is diagnosed with Attention Deficit Hyperactivity Disorder and given psychiatric medication, but a strange accident alerts his mother as to their side effects. When she refuses to continue administering the drugs to him, Social Services threaten to take Tom from her.",Drama
El poder de la mirada, José Ramón Mikelajáuregui,,,
El Rey de la Fiesta, Salomón Askenazi,4.7,"A man going through a crisis chooses to live somebody else's life for a week, transforming his identity.",Drama
El rey de todo el mundo, Carlos Saura,6.2,Two dancers who fall in love when they are cast as co-leads on a major production,Drama
El sueño de Hikuri Abraham, Torres Valadez,,,
El Testamento de la Abuela, Javier Colinas,7.181,"When the grandmother decides that it is time to put the family affairs in order, the fights begin to inherit the house. (A sequel to Grandma's Wedding.)",Comedy
El último Tlatoani, Pablo Jato,,,
El vestido de la novia, Roque Falabella,7.7,"Days before her wedding, young Sara starts experiencing disturbing visions that may be related to her recently acquired wedding gown.",Horror
Yermo (antes El Vientre Yermo), Everardo González,,,
Ermitaños, Daniela Uribe,2.0,"In the midst of the chaos of México City, a group of eight bachelor millennials who call themselves ´The Hermits´, open the doors to their tiny apartments in the historic Ermita Building, in the yet-to-be gentrified neighborhood of Tacubaya, and share their life experiences in a time when precarity changes the way in which we love, feel and relate to each other. As we explore the homes of these eight neighbors, we also witness their personalities intersect in a Whatsapp chat, a virtual space that functions as a supporting system that helps them face the adversities that living alone in this city brings.",Documentary
Escorpio, Julian Noble,0.0,A couple of derailed young fellows live a relationship on the verge of pleasure and  danger. We take a look at certain moments of a self-destructive relationship between two  teenagers as they seek to break through society.,
Estado del imperio, Amat Escalante,,,
Estamos hechos, Herbey Eguiarte,0.0,"Sergio and Angélica get together to put an end to a stormy relationship. In the park, Fabiola runs into Natalia, the teenage daughter of her former boyfriend. Meanwhile, Ray is off to buy an engagement ring accompanied by his best friend from college. All this happens in a single morning, in a series of stories that will help us understand what we are made of.",
Familia de medianoche, Luke Lorentzen,7.1,"In Mexico City, the government operates fewer than 45 emergency ambulances for a population of 9 million. This has spawned an underground industry of for-profit ambulances often run by people with little or no training or certification. An exception in this ethically fraught, cutthroat industry, the Ochoa family struggles to keep their financial needs from jeopardizing the people in their care. When a crackdown by corrupt police pushes the family into greater hardship, they face increasing moral dilemmas even as they continue providing essential emergency medical services.",Documentary
FBI Franciscos Banda Internacional, Gustavo Gamou ,,,
Fin amor, Raúl Quintanilla,5.0,A filmmaker falls in love with a married woman.,Romance
Forgiveness, Alex Kahuam,0.0,"A beloved Pastor works to serve his 'flock' and save his 100 year old church. In his dedication and desire to do so, he crosses boundaries that are not to be crossed.",Mystery
Fractal, Mariana González,5.3,"On a gloomy Sunday in Mexico City, three friends in their twenties look for a female friend that disappears at an after-party. As they believe the worse could be happening, and while confronting characters and situations that represent a fraction of the problems of contemporary Mexico, their dreams, concerns and fears come to light.",Drama
Frontera sur, Raúl O. Paz Pastrana,4.0,"This historical drama addresses European immigration to the Americas (in this case to Buenos Aires, Argentina) during the last two decades of the 19th century. Among its main characters are a Spanish immigrant, a German one, and an established ""Argentine."" They compete for the affection of a more established female Spanish immigrant, now a successful businesswoman, albeit a prostitute.",Drama
Guadalupe Reyes, Salvador Espinosa,7.7,"Two longtime friends decide to attempt the Guadalupe Reyes challenge, which consist of drinking everyday from December the 12th (Day of Our Lady of Guadalupe) until January the 6th (Epiphany Day, the Feast of The Three Kings).",Comedy
Guía para el viajero que no quiere preguntar, Mariana Chenillo,2.0,"When a car accident causes Jonás to completely lose his vision, he finds himself unable to live the life he used to know. Despite his refusal to accept his new condition or to show any vulnerability in the presence of his wife and daughters, the circumstances will lead him to discover new and unsuspected paths that will allow him to carry on.",
Guiexhuba, Sabrina Muhate,7.6,"A group of native women in Oaxaca, commanded by Guiexhuba, will defend themselves from the people in power.",
Dioses de México, Giorgio Blasi,6.0,It follows the resistance to modernization in rural Mexico. It is a reminder that it is still possible to live in tune with our essence as human beings.,Documentary
Doblemente embarazada, Koko Stambuk,7.097,"A woman gets pregnant with fraternal twins, one from her fiancé and the other from a former lover.",Comedy
Domingo, Raúl López,6.0,"When his wife leaves him, Domingo is determined to prove that he is not only a looser that gets fired every other week. Domingo sets out to make his lifelong dream come true. Every Sunday, he goes and spends his time on the sidelines of an improvised soccer field, near his poor outskirt neighbourhood in Guadalajara, to commentate on the neighbourhood matches. While he constantly improves his style and technique, he keeps trying to get a job with the local TV station as his ultimate goal, but he doesn't realize how much his impassioned commentaries are changing the life of his entire community.",Comedy
Donde corre el agua, Juan Carlos Blanco,0.0,"Luca a teenage orphan leaves his home town Chipilo for Mexico city, in seek of fortune, where he will met Paulina, a 24 year old circus trapeze artist, who will teach him love and life in the circus.",
Donde los pájaros van a morir, Analeine Cal y Mayor,0.0,,Comedy
Dos veces tú, Salomón Askenazi,4.6,A unique relationship between two women that transcends time and space.,Drama
Efímera (antes Efemeróptera), Luis Mariano García Villanueva,,,
El amarre, Tamae Garateguy,6.956,"A woman has a crush with a coworker and makes a ritual to make him fall in love with her, but things got a little out of hand when she messes with forces no one can control.",Horror
El baile de los 41, David Pablos,7.909,"Mexico City, November 1901. The police raid a private home where a secret party is being held. Among those attending is the son-in-law of President Porfirio Díaz.",Drama
El camino de Sol, Claudia Sainte-Luce,6.3,A well-established tale of a long-running feud between two mountain clans.,Adventure
El Corazón de Bolívar, Leonel González,5.0,"Isabel and Antonio Condorcanqui, brother and sister who have been separated by Chile’s Dictatorship due to the family relationship they have with José Gabriel Condorcanqui or Tupac Amaru II.",
El día uno, Antonio Yglesias y Juan Manuel Fernández,,,
